row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
138,2026-01-15,"ct_10000064420",AAPL,"Tommy Tuberville",SELL,271.84,258.21,-5.01,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
139,2026-01-15,"ct_10000064421",GOOGL,"Tommy Tuberville",SELL,296.72,332.78,12.15,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
140,2026-01-15,"ct_20003794722",OZK,"Steve Cohen",SELL,47.89,48.51,1.30,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
141,2026-01-15,"ct_20003794724",GS,"Steve Cohen",SELL,872.33,975.86,11.87,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
142,2026-01-15,"ct_20003794725",GS,"Steve Cohen",SELL,872.33,975.86,11.87,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
143,2026-01-15,"ct_20003794726",MS,"Steve Cohen",SELL,174.80,191.23,9.40,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
144,2026-01-15,"ct_20003794732",NOW,"Josh Gottheimer",SELL,156.48,131.17,-16.17,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
145,2026-01-15,"ct_20003794737",DRI,"Rick Larsen",BUY,198.29,214.33,8.09,8,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
146,2026-01-15,"ct_20003794738",ESS,"Rick Larsen",SELL,251.06,253.52,0.98,8,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
147,2026-01-15,"ct_20003794739",META,"Rick Larsen",BUY,648.69,620.80,-4.30,8,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
148,2026-01-15,"ct_20003794740",MDLZ,"Rick Larsen",SELL,51.51,57.30,11.24,8,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
149,2026-01-15,"ct_20003794741",VRSK,"Rick Larsen",SELL,219.61,222.05,1.11,8,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
150,2026-01-15,"ct_20003794742",WM,"Rick Larsen",BUY,215.97,219.86,1.80,8,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
151,2026-01-16,"ct_20003794745",MMM,"Julie Johnson",SELL,161.76,167.80,3.73,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
152,2026-01-16,"ct_20003794746",ABT,"Julie Johnson",SELL,124.49,121.76,-2.19,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
153,2026-01-16,"ct_20003794747",ABBV,"Julie Johnson",SELL,221.04,214.35,-3.03,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
154,2026-01-16,"ct_20003794748",APD,"Julie Johnson",SELL,241.98,267.53,10.56,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
155,2026-01-16,"ct_20003794749",GOOGL,"Julie Johnson",SELL,302.46,330.00,9.11,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
156,2026-01-16,"ct_20003794750",AXP,"Julie Johnson",SELL,374.69,364.79,-2.64,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
157,2026-01-16,"ct_20003794751",ADI,"Julie Johnson",SELL,274.92,300.25,9.21,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
158,2026-01-16,"ct_20003794752",AJG,"Julie Johnson",SELL,252.64,258.52,2.33,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
159,2026-01-16,"ct_20003794753",BAC,"Julie Johnson",SELL,54.26,52.97,-2.38,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
160,2026-01-16,"ct_20003794754",BX,"Julie Johnson",SELL,153.73,163.50,6.36,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
